Start_Index,Act_No,Title_EN,Title_BM,Royal_Assent_Date,Publication_Date,Commencement_Date,Commencement_Remark,PDF_URL
82,A1684,ROAD TRANSPORT (AMENDMENT) ACT 2023,AKTA PENGANGKUTAN JALAN (PINDAAN) 2023,05/06/2023,16/06/2023,,15/10/2023 [P.U. (B) 452/2023],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1826831_BI/Act A1684 BI.pdf
83,A1683,WINDFALL PROFIT LEVY (VALIDATION) ACT 2023,"AKTA LEVI KEUNTUNGAN LUAR BIASA
(PENGESAHAN) 2023",27/04/2023,05/05/2023,06/05/2023,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814092_BI/Act A1683.pdf
84,A1682,"CRIMINAL PROCEDURE CODE (AMENDMENT)
ACT 2023","AKTA KANUN TATACARA JENAYAH
(PINDAAN) 2023",27/04/2023,05/05/2023,31/05/2023,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814093_BI/Act A1682.pdf
85,A1681,PENAL CODE (AMENDMENT) ACT 2023,AKTA KANUN KESEKSAAN (PINDAAN) 2023,27/04/2023,05/05/2023,,31/05/2023 [P.U. (B) 172/2023],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814085_BI/Act A1681.pdf
86,A1680,SUPPLEMENTARY SUPPLY (2022) ACT 2023,AKTA PERBEKALAN TAMBAHAN (2022) 2023,27/04/2023,03/05/2023,04/05/2023,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814075_BI/Act A1680.pdf
87,A1679,SUPPLY ACT 2023,AKTA PERBEKALAN 2023,27/04/2023,03/05/2023,04/05/2023,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814076_BI/Act A1679.pdf
88,A1678,"CONSOLIDATED FUND
(EXPENDITURE ON ACCOUNT) ACT 2022",AKTA KUMPULAN WANG DISATUKAN (PERBELANJAAN MASUK AKAUN) 2022,28/12/2022,30/12/2022,01/01/2023,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1754864_BI/WJW221417 BI.pdf
89,A1677,FREE ZONES  (AMENDMENT) ACT 2022,AKTA ZON BEBAS (PINDAAN) 2022,08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 638/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745938_BI/A1677 BI.pdf
90,A1676,GOODS VEHICLE LEVY (AMENDMENT) ACT 2022,"AKTA LEVI KENDERAAN BARANG-BARANG
(PINDAAN) 2022",08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 637/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745941_BI/ACT A1676.pdf
91,A1675,WINDFALL PROFIT LEVY (AMENDMENT) ACT 2022,"AKTA LEVI KEUNTUNGAN LUAR BIASA
(PINDAAN) 2022",08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 636/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745942_BI/ACT A1675.pdf
92,A1674,DEPARTURE LEVY (AMENDMENT) ACT 2022,AKTA LEVI PELEPASAN (PINDAAN) 2022,08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 635/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745940_BI/ACT A1674.pdf
93,A1673,TOURISM TAX (AMENDMENT) ACT 2022,AKTA CUKAI PELANCONGAN (PINDAAN) 2022,08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 644/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745939_BI/A1673 BI.pdf
94,A1672,SERVICE TAX (AMENDMENT) ACT 2022,AKTA CUKAI PERKHIDMATAN (PINDAAN) 2022,08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 643/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745934_BI/ACT A1672.pdf
95,A1671,SALES TAX (AMENDMENT) ACT 2022,AKTA CUKAI JUALAN (PINDAAN) 2022,08/10/2022,18/10/2022,,"01/01/2023 [P.U. (B) 641/2022], 01/04/2023 [P.U. (B) 642/2022], [P.U. (B) 161/2023], 01/01/2024 [P.U. (B) 541/2023]",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745933_BI/A1671 BI.pdf
96,A1670,EXCISE (AMENDMENT) ACT 2022,AKTA EKSAIS (PINDAAN) 2022,08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 640/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745937_BI/Act A1670.pdf
97,A1669,CUSTOMS (AMENDMENT) ACT 2022,AKTA KASTAM (PINDAAN) 2022,08/10/2022,18/10/2022,,01/01/2023 [P.U. (B) 639/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745936_BI/A1669 BI.pdf
98,A1668,TABUNG ANGKATAN TENTERA (AMENDMENT) ACT 2022,AKTA TABUNG ANGKATAN TENTERA (PINDAAN) 2022,07/09/2022,20/09/2022,,01/11/2022 [P.U. (B) 510/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742946_BI/Act A1668 BI.pdf
99,A1667,NATIONAL FORESTRY (AMENDMENT) ACT 2022,AKTA PERHUTANAN NEGARA (PINDAAN) 2022,07/09/2022,20/09/2022,,"1/2/2025 [P.U. (B) 57/2025] in the Federal Territories of Kuala Lumpur, Labuan and Putrajaya",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742945_BI/Act A1667.pdf
100,A1666,POISONS (AMENDMENT) ACT 2022,AKTA RACUN (PINDAAN) 2022,07/09/2022,20/09/2022,,"01/01/2023 [P.U. (B) 655/2022] Except section 21, 01/01/2024 [P.U. (B) 580/2023] section 21",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742947_BI/Act A1666 BI.pdf
101,A1665,FEDERAL AGRICULTURAL MARKETING AUTHORITY (AMENDMENT) ACT 2022,AKTA LEMBAGA PEMASARAN PERTANIAN PERSEKUTUAN (PINDAAN) 2022,31/08/2022,06/09/2022,,01/08/2023 [P.U. (B) 284/2023],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741982_BI/Act A1665.pdf
102,A1664,EAST COAST ECONOMIC REGION DEVELOPMENT COUNCIL (AMENDMENT) ACT 2022,AKTA MAJLIS PEMBANGUNAN WILAYAH EKONOMI PANTAI TIMUR (PINDAAN) 2022,31/08/2022,06/09/2022,,01/01/2024 [P.U. (B) 542/2023],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741964_BI/Act A1664.pdf
103,A1663,CONSTITUTION (AMENDMENT) (NO.3) ACT 2022,AKTA PERLEMBAGAAN (PINDAAN) (NO.3) 2022,31/08/2022,06/09/2022,,"05/10/2022 [P.U. (B) 476/2022]  Except section 6,
08/12/2022 [P.U. (B) 596/2022], 24/07/2023 [P.U. (B) 282/2023]",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741962_BI/Act A1663.pdf
104,A1662,CRIMINAL PROCEDURE CODE (AMENDMENT) ACT 2022,AKTA KANUN TATACARA JENAYAH (PINDAAN) 2022,31/08/2022,05/09/2022,,01/10/2022 [P.U. (B) 452/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742028_BI/Act A1662.pdf
105,A1661,COURTS OF JUDICATURE (AMENDMENT) ACT 2022,AKTA MAHKAMAH KEHAKIMAN (PINDAAN) 2022,31/08/2022,05/09/2022,,01/10/2022 [P.U. (B) 451/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742025_BI/Act A1661.pdf
106,A1660,OFFENDERS COMPULSORY ATTENDANCE (AMENDMENT) ACT 2022,AKTA KEHADIRAN WAJIB PESALAH-PESALAH (PINDAAN) 2022,31/08/2022,05/09/2022,,30/09/2022 [P.U. (B) 461/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741974_BI/Act A1660.pdf
107,A1659,CONTROL OF PADI AND RICE (AMENDMENT) ACT 2022,AKTA KAWALAN PADI DAN BERAS (PINDAAN) 2022,31/08/2022,05/09/2022,,30/03/2023 [P.U. (B) 114/2023],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741970_BI/Act A1659.pdf
108,A1658,EMPLOYEES' SOCIAL SECURITY  (AMENDMENT) ACT 2022,AKTA KESELAMATAN SOSIAL PEKERJA (PINDAAN) 2022,24/08/2022,30/08/2022,,01/09/2022 [P.U. (B) 395/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741730_BI/A1658 BI.pdf
109,A1657,EMPLOYMENT INSURANCE SYSTEM (AMENDMENT) ACT 2022,AKTA SISTEM INSURANS PEKERJAAN (PINDAAN) 2022,24/08/2022,30/08/2022,,01/09/2022 [P.U. (B) 393/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741729_BI/A1657 BI.pdf
110,A1656,CONSTITUTION (AMENDMENT) (NO.2) ACT 2022,AKTA PERLEMBAGAAN (PINDAAN) (NO.2) 2022,31/05/2022,09/06/2022,15/12/2021,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733746_BI/Act A1656.pdf
111,A1655,LABUAN ISLAMIC FINANCIAL SERVICES AND SECURITIES (AMENDMENT) ACT 2022,AKTA PERKHIDMATAN KEWANGAN DAN SEKURITI ISLAM LABUAN (PINDAAN) 2022,31/05/2022,09/06/2022,01/01/2019,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733751_BI/Act A1655.pdf
112,A1654,LABUAN FINANCIAL SERVICES AND SECURITIES (AMENDMENT) ACT 2022,AKTA PERKHIDMATAN KEWANGAN DAN SEKURITI LABUAN (PINDAAN) 2022,31/05/2022,09/06/2022,01/01/2019,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733750_BI/Act A1654.pdf
113,A1653,LABUAN COMPANIES (AMENDMENT) ACT 2022,AKTA SYARIKAT LABUAN (PINDAAN) 2022,31/05/2022,09/06/2022,,10/6/2022 except subsection 4(b) is deemed to have come into operation on 1/1/2019,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733748_BI/Act A1653.pdf
114,A1652,CONTROL OF SUPPLIES (AMENDMENT) ACT 2022,AKTA KAWALAN BEKALAN (PINDAAN) 2022,30/04/2022,13/05/2022,,31/05/2022 [P.U. (B) 271/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1731683_BI/Act A1652.pdf
115,A1651,EMPLOYMENT (AMENDMENT) ACT 2022,AKTA KERJA (PINDAAN) 2022,26/04/2022,10/05/2022,,01/01/2023 [P.U. (B) 394/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1731234_BI/A1651 BI.pdf
116,A1650,SUPPLEMENTARY SUPPLY (2021) ACT 2022,AKTA PERBEKALAN TAMBAHAN (2021) 2022,26/04/2022,10/05/2022,11/05/2022,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1731229_BI/A1650 BI.pdf
117,A1649,PATENTS (AMENDMENT) ACT 2022,AKTA PATEN (PINDAAN) 2022,04/03/2022,16/03/2022,,"18/3/2022 [P.U. (B) 168/2022] Except section 14, paragraph 26(a), 
sections 45 and 47, paragraph 48(a), section 55 and paragraph 57(b);
30/6/2022 [P.U. (B) 307/2022] sections 14 and 55;  31/12/2025 [P.U. (B) 362/2025] paragraph 26(a), sections 45 and 47, and paragraphs 48(a) 
and 57(b)",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1725649_BI/A1649 BI.pdf
118,A1648,OCCUPATIONAL SAFETY AND HEALTH (AMENDMENT) ACT 2022,AKTA KESELAMATAN DAN KESIHATAN PEKERJAAN (PINDAAN) 2022,04/03/2022,16/03/2022,,1/6/2024 [P.U.(B) 128/2024],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1725651_BI/A1648 BI.pdf
119,A1647,MALAYSIA DEPOSIT INSURANCE CORPORATION (AMENDMENT) ACT 2022,AKTA PERBADANAN INSURANS DEPOSIT MALAYSIA (PINDAAN) 2022,02/02/2022,10/02/2022,,"22/02/2022 [P.U. (B) 120/2022]
Except sections 12, 13, 14, 15, 16, 17, 22, 23, 24, 25, 26 and 27;  21/07/2023 [P.U. (B) 281/2023]
sections 12, 13, 14, 15, 16, 17, 22, 23, 24, 25, 26 and 27",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1722572_BI/A1647 BI.pdf
120,A1646,WILDLIFE CONSERVATION (AMENDMENT) ACT 2022,AKTA PEMULIHARAAN HIDUPAN LIAR (PINDAAN) 2022,02/02/2022,10/02/2022,,"01/02/2023 [P.U. (B) 32/2023] Except sections 2, 3, 4, 5, 6, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 24, 25, 32, 35, 37, 38, 39, 44, 45, 48, 61, 65, 68, 73 and 75",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1722570_BI/ACT A1646.pdf
121,A1645,COPYRIGHT (AMENDMENT) ACT 2022,AKTA HAK CIPTA (PINDAAN) 2022,26/01/2022,10/02/2022,,"18/3/2022 [P.U. (B) 167/2022] Except sections  4, 5, 6 dan 10
30/6/2022 [P.U. (B) 306/2022] sections 4, 5, 6 and 10",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1722573_BI/A1645 BI.pdf
122,A1644,ANTI-TRAFFICKING IN PERSONS AND ANTI-SMUGGLING OF MIGRANTS (AMENDMENT) ACT 2022,AKTA ANTIPEMERDAGANGAN ORANG DAN ANTIPENYELUDUPAN MIGRAN (PINDAAN) 2022,19/01/2022,25/01/2022,,22/2/2022 [P.U. (B) 116/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1721503_BI/Act A1644.pdf
123,A1643,SMALL ESTATES (DISTRIBUTION) (AMENDMENT) ACT 2022,AKTA HARTA PUSAKA KECIL (PEMBAHAGIAN) (PINDAAN) 2022,19/01/2022,25/01/2022,,12/7/2024 [P.U. (B) 267/2024],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1721501_BI/Act A1643.pdf
124,A1642,CONSTITUTION (AMENDMENT) ACT 2022,AKTA PERLEMBAGAAN (PINDAAN) 2022,19/01/2022,25/01/2022,,11/2/2022 [P.U. (B) 91/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1721506_BI/Act A1642.pdf
125,A1641,TEMPORARY MEASURES FOR REDUCING THE IMPACT OF CORONAVIRUS DISEASE 2019 (COVID-19) (AMENDMENT) ACT 2022,AKTA LANGKAH-LANGKAH SEMENTARA BAGI MENGURANGKAN KESAN PENYAKIT KORONAVIRUS 2019 (COVID-19) (PINDAAN) 2022,05/01/2022,13/01/2022,14/01/2022,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1720504_BI/Act A1641.pdf
126,A1640,ADVOCATES ORDINANCE (SABAH) (AMENDMENT) ACT 2021,AKTA ORDINAN PEGUAM BELA (SABAH) (PINDAAN) 2021,28/12/2021,31/12/2021,,10/1/2022 [P.U. (B) 5/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1719371_BI/Act A1640.pdf
127,A1639,TRADE DESCRIPTIONS (AMENDMENT) 2021,AKTA PERIHAL DAGANGAN (PINDAAN) 2021,28/12/2021,31/12/2021,,11/1/2022 [P.U. (B) 11/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1719370_BI/Act A1639.pdf
128,A1638,SUPPLY ACT 2022,AKTA PERBEKALAN 2022,28/12/2021,30/12/2021,31/12/2021,sehari selepas tarikh pewartaan,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1719369_BI/WJW211645 A1638 (BI) Teks.pdf
129,A1637,NATIONAL TRUST FUND (AMENDMENT) ACT 2021,AKTA KUMPULAN WANG AMANAH NEGARA (PINDAAN) 2021,12/11/2021,18/11/2021,,9/12/2021[P.U. (B) 659/2021],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1714921_BI/Act A1637 BI.pdf
130,A1636,WINDFALL PROFIT LEVY (AMENDMENT) ACT 2021,AKTA LEVI KEUNTUNGAN LUAR BIASA (PINDAAN) 2021,12/11/2021,18/11/2021,,1/12/2021 [P.U. (B) 614/2021],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1714920_BI/Act A1636 BI.pdf
131,A1635,TEMPORARY MEASURES FOR GOVERNMENT FINANCING (CORONAVIRUS DISEASE 2019 (COVID-19)) (AMENDMENT) ACT 2021,AKTA LANGKAH-LANGKAH SEMENTARA BAGI PEMBIAYAAN KERAJAAN (PENYAKIT KORONAVIRUS 2019 (COVID-19)) (PINDAAN) 2021,12/11/2021,17/11/2021,18/11/2021,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1714923_BI/A1635 BI.pdf
132,A1634,CO-OPERATIVE SOCIETIES (AMENDMENT) ACT 2021,AKTA KOPERASI (PINDAAN) 2021,26/01/2021,02/02/2021,,1-4-2021 [P.U. (B) 174/2021],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696027_BI/Act A1634y2021.pdf
133,A1633,TOURISM TAX (AMENDMENT) ACT 2021,AKTA CUKAI PELANCONGAN (PINDAAN) 2021,26/01/2021,02/02/2021,,REFER [P.U. (B) 148/2021],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20210202_A1633_BI_Act A1633.pdf
134,A1632,SERVICE TAX (AMENDMENT) ACT 2020,AKTA CUKAI PERKHIDMATAN (PINDAAN) 2020,31/12/2020,31/12/2020,,1-1-2021 [P.U. (B) 716/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696024_BI/Act A1632.pdf
135,A1631,SALES TAX (AMENDMENT) ACT 2020,AKTA CUKAI JUALAN (PINDAAN) 2020,31/12/2020,31/12/2020,,1-1-2021 [P.U. (B) 715/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696023_BI/Act-A1631.pdf
136,A1630,FREE ZONES (AMENDMENT) ACT 2020,AKTA ZON BEBAS (PINDAAN) 2020,31/12/2020,31/12/2020,,1-1-2021 [P.U. (B) 719/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696022_BI/ACT A1630.pdf
137,A1629,EXCISE (AMENDMENT) ACT 2020,AKTA EKSAIS (PINDAAN) 2020,31/12/2020,31/12/2020,,1-1-2021 [P.U. (B) 718/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696021_BI/18. A1629 EXCISE 2020_unlocked (1).pdf
138,A1628,CUSTOMS (AMENDMENT) ACT 2020,AKTA KASTAM (PINDAAN) 2020,31/12/2020,31/12/2020,,1-1-2021 [P.U. (B) 717/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20201231_A1628_BI_Act A1628.pdf
139,A1627,TEMPORARY MEASURES FOR GOVERNMENT FINANCING (CORONAVIRUS DISEASE 2019 (COVID-19)) (AMENDMENT) ACT 2020,AKTA LANGKAH-LANGKAH SEMENTARA BAGI PEMBIAYAAN KERAJAAN (PENYAKIT KORONAVIRUS 2019 (COVID-19)) (PINDAAN) 2020,31/12/2020,31/12/2020,,1-1-2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20201231_A1627_BI_Act A1627.pdf
140,A1626,SUPPLY ACT 2021,AKTA PERBEKALAN 2021,28/12/2020,31/12/2020,,1-1-2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20201231_A1626_BI_WJW015xxx BI.PDF
141,A1625,NATIONAL SECURITY COUNCIL (AMENDMENT) ACT 2020,AKTA MAJLIS KESELAMATAN NEGARA (PINDAAN) 2020,22/10/2020,31/10/2020,01/11/2020,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1685203_BI/WJW015635 Act A1625.pdf
142,A1624,INSOLVENCY (AMENDMENT) ACT 2020,AKTA INSOLVENSI (PINDAAN) 2020,12/10/2020,22/10/2020,,1-9-2021 [P.U. (B) 96/2021],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684469_BI/Act A1624.pdf
143,A1623,SUBORDINATE COURTS RULES (AMENDMENT) ACT 2020,AKTA KAEDAH-KAEDAH MAHKAMAH RENDAH (PINDAAN) 2020,10/10/2020,22/10/2020,,22/10/2020 [P.U. (B) 532/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684468_BI/Act A1623.pdf
144,A1622,SUBORDINATE COURTS (AMENDMENT) ACT 2020,AKTA MAHKAMAH RENDAH (PINDAAN) 2020,10/10/2020,22/10/2020,,22/10/2020 [P.U. (B) 531/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684467_BI/Act A1622.pdf
145,A1621,COURTS OF JUDICATURE (AMENDMENT) ACT 2020,AKTA MAHKAMAH KEHAKIMAN (PINDAAN) 2020,10/10/2020,22/10/2020,,22/10/2020 [P.U. (B) 530/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684466_BI/Act A1621.pdf
146,A1620,SUPPLY (REALLOCATION OF APPROPRIATED EXPENDITURE) ACT 2020,AKTA PERBEKALAN (PENGUNTUKAN SEMULA PERUNTUKAN PERBELANJAAN) 2020,10/10/2020,22/10/2020,10/03/2020,Deemed to have come into operation on,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684653_BI/Act A1620.pdf
147,A1619,SUPPLEMENTARY SUPPLY (2019) ACT 2020,AKTA PERBEKALAN TAMBAHAN (2019) 2020,10/10/2020,22/10/2020,23/10/2020,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684458_BI/Act A1619.pdf
148,A1618,ROAD TRANSPORT (AMENDEMENT) ACT 2020,AKTA PENGANGKUTAN JALAN (PINDAAN) 2020,10/10/2020,22/10/2020,,23/10/2020 [P.U. (B) 533/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684461_BI/Act A1618.pdf
149,A1617,FRANCHISE (AMENDMENT) ACT 2020,AKTA FRANCAIS (PINDAAN) 2020,20/02/2020,06/03/2020,,28/4/2022 [P.U. (B) 255/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/760461_BI/WJW014870 BI.pdf
150,A1616,CENTRAL BANK OF MALAYSIA (AMENDMENT) ACT 2020,AKTA BANK NEGARA MALAYSIA (PINDAAN) 2020,14/02/2020,28/02/2020,,1/10/2020 [P.U. (B) 479/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/759538_BI/WJW014847 BI.pdf
151,A1615,INDUSTRIAL RELATION (AMENDMENT) ACT 2020,AKTA PERHUBUNGAN PERUSAHAAN (PINDAAN) 2020,06/02/2020,20/02/2020,,"1-1-2021 [P.U. (B) 695/2020] except section 4, subsections 5(c), (d), (e), (f) and 8(b), section 10, subsections 11(a), (b) and (c), and section 18, 33 and 34",https://lom.agc.gov.my/upload/portal/akta/outputaktap/758952_BI/Act A1615.pdf
152,A1614,LABUAN BUSINESS ACTIVITY TAX (AMENDMENT) ACT 2020,AKTA CUKAI AKTIVITI PERNIAGAAN LABUAN (PINDAAN) 2020,28/02/2020,10/02/2020,,Refer Act,https://lom.agc.gov.my/upload/portal/akta/outputaktap/757996_BI/Act A1614 BI.pdf
153,A1613,CARRIAGE OF GOODS BY SEA (AMENDMENT) ACT 2020,AKTA PENGANGKUTAN BARANG MELALUI LAUT (PINDAAN) 2020,22/01/2020,04/02/2020,,NOT YET IN FORCE,https://lom.agc.gov.my/upload/portal/akta/outputaktap/757516_BI/WJW0146XX BI.pdf
154,A1612,COPYRIGHT (AMENDMENT) ACT 2020,AKTA HAK CIPTA (PINDAAN) 2020,20/01/2020,30/01/2020,,1/7/2020 [P.U. (B) 254/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/757238_BI/A1612 BI.pdf
155,A1611,EMPLOYEES PROVIDENT FUND (AMENDMENT) ACT 2019,AKTA KUMPULAN WANG SIMPANAN PEKERJA (PINDAAN) 2019,30/12/2019,31/12/2019,,"15-03-2020 [P.U. (B) 158/2020] 
1-10-2020 (Sections 6, 8 and 11) - [P.U. (B) 468/2020]",https://lom.agc.gov.my/upload/portal/akta/outputaktap/20191231_A1611_BI_Act A1611.pdf
156,A1610,PETROLEUM (INCOME TAX) (AMENDMENT) ACT 2019,AKTA PETROLEUM (CUKAI PENDAPATAN) (PINDAAN) 2019,30/12/2019,31/12/2019,,1-1-2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696013_BI/ACT A1610.pdf
157,A1609,INCOME TAX (AMENDMENT) ACT 2019,AKTA CUKAI PENDAPATAN (PINDAAN) 2019,30/12/2019,31/12/2019,,1-1-2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696012_BI/ACT A1609.pdf
158,A1608,SUPPLY ACT 2020,AKTA PERBEKALAN 2020,30/12/2019,31/12/2019,,1-1-2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20191231_A1608_BI_Act A1608.pdf
159,A1607,TRADE DESCRIPTIONS (AMENDMENT) ACT 2019,AKTA PERIHAL DAGANGAN (PINDAAN) 2019,24/11/2019,09/12/2019,,27/12/2019 [P.U. (A) 656/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/753890_BI/TRADE DESCRIPTIONS (AMENDMENT) ACT 2019.pdf
160,A1606,ADMINISTRATION OF ISLAMIC LAW (FEDERAL TERRITORIES) (AMENDMENT) (NO.2) ACT 2019,AKTA PENTADBIRAN UNDANG-UNDANG ISLAM (WILAYAH-WILAYAH PERSEKUTUAN) (PINDAAN) (NO.2) 2019,15/11/2019,29/11/2019,,21/06/2022 [P.U. (B) 286/2022],https://lom.agc.gov.my/upload/portal/akta/outputaktap/753473_BI/WJW014437 BI.pdf
161,A1605,COMPANIES (AMENDMENT) ACT 2019,AKTA SYARIKAT (PINDAAN) 2019,28/09/2019,09/10/2019,,15/1/2020 [P.U. (B) 16/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/716301_BI/COMPANIES (AMENDMENT) ACT 2019.pdf
162,A1604,Workers' Minimum Standards of Housing and Amenities (Amendment) Act 2019,Akta Standard Minimum Perumahan dan Kemudahan Pekerja (Pindaan) 2019,18/09/2019,23/09/2019,,1/6/2020 [P.U. (B) 248/2020],https://lom.agc.gov.my/upload/portal/akta/outputaktap/632166_BI/WJW014169 BI.pdf
163,A1603,CONSTITUTION  (AMENDMENT) ACT 2019,AKTA PERLEMBAGAAN (PINDAAN) 2019,04/09/2019,10/09/2019,,"11/09/2019, Section 3 of the Act came into force on 15 December 2021 [P.U. (B) 615/2021]",https://lom.agc.gov.my/upload/portal/akta/outputaktap/Pindaan FC AA1603 BI.pdf
164,A1602,Youth Societies and Youth  Development (Amendment) Act 2019,Akta Pertubuhan Belia dan Pembangunan Belia (Pindaan) 2019,18/08/2019,21/08/2019,,1/1/2026 [P.U. (B) 510/2023],https://lom.agc.gov.my/upload/portal/akta/outputaktap/17786_BI/WJW013964 Act A1602.pdf
165,A1601,FISHERIES (AMENDMENT) ACT 2019,AKTA PERIKANAN (PINDAAN) 2019,07/08/2019,09/08/2019,,30/09/2019 [P.U. (B) 453/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190809_1601_BI_Act A1601.pdf
166,A1600,PEACEFUL ASSEMBLY (AMENDMENT) ACT 2019,AKTA PERHIMPUNAN AMAN (PINDAAN) 2019,07/08/2019,09/08/2019,,1-11-2019 [P.U. (B) 509/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190809_A1600_BI_Act A1600.pdf
167,A1599,REVISION OF LAWS (AMENDMENT) ACT 2019,AKTA PENYEMAKAN UNDANG-UNDANG (PINDAAN) 2019,07/08/2019,09/08/2019,,1-8-2019,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696001_BI/ACT A1599.pdf
168,A1598,Consumer Protection (Amendment) 2019,Akta Perlindungan Pengguna (Pindaan) 2019,07/08/2019,09/08/2019,,1/10/2019 [P.U. (B) 448/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/17724_BI/Act A1598.pdf
